date,ticker,return_daily,cumulative_return,log_return,ticker_clean
2023-03-10,ENGI11.SA,-2.504943,74.976652,-0.025369,ENGI11
2023-03-13,ENGI11.SA,0.508777,75.866893,0.005075,ENGI11
2023-03-14,ENGI11.SA,0.379645,76.534563,0.003789,ENGI11
2023-03-15,ENGI11.SA,1.613717,79.383331,0.016008,ENGI11
2023-03-16,ENGI11.SA,-0.794039,77.958958,-0.007972,ENGI11
2023-03-17,ENGI11.SA,-6.42821,66.519382,-0.066441,ENGI11
2023-03-20,ENGI11.SA,-0.347502,65.940723,-0.003481,ENGI11
2023-03-21,ENGI11.SA,-0.777902,64.649867,-0.007809,ENGI11
2023-03-22,ENGI11.SA,0.828959,66.014746,0.008255,ENGI11
2023-03-23,ENGI11.SA,0.219236,66.37871,0.00219,ENGI11
2023-03-24,ENGI11.SA,2.242291,70.109406,0.022175,ENGI11
2023-03-27,ENGI11.SA,-0.427931,69.381455,-0.004288,ENGI11
2023-03-28,ENGI11.SA,6.983622,81.210417,0.067506,ENGI11
2023-03-29,ENGI11.SA,-1.707266,78.116672,-0.01722,ENGI11
2023-03-30,ENGI11.SA,1.992338,81.665358,0.019728,ENGI11
2023-03-31,ENGI11.SA,0.626104,82.802772,0.006242,ENGI11
2023-04-03,ENGI11.SA,-0.597324,81.710847,-0.005991,ENGI11
2023-04-04,ENGI11.SA,3.380078,87.852815,0.033242,ENGI11
2023-04-05,ENGI11.SA,-0.532801,86.851932,-0.005342,ENGI11
2023-04-06,ENGI11.SA,1.655691,89.945622,0.016421,ENGI11
2023-04-10,ENGI11.SA,0.383241,90.673572,0.003825,ENGI11
2023-04-11,ENGI11.SA,0.835127,92.265939,0.008317,ENGI11
2023-04-12,ENGI11.SA,2.43729,96.952017,0.024081,ENGI11
2023-04-13,ENGI11.SA,0.485078,97.907389,0.004839,ENGI11
2023-04-14,ENGI11.SA,1.793127,101.456119,0.017772,ENGI11
2023-04-17,ENGI11.SA,-1.87444,97.679946,-0.018922,ENGI11
2023-04-18,ENGI11.SA,-2.278493,93.175822,-0.023049,ENGI11
2023-04-19,ENGI11.SA,-2.260953,88.808208,-0.022869,ENGI11
