year,ticker,ticker_clean,longName,shortName,sector,industry,beta_selic_30d,pvalue,r2,n_obs,significant,median_return_30d_after_copom,mean_return_30d_after_copom,avg_volatility_20d,max_drawdown_pct,avg_volume,total_return_pct,beta_band,beta_abs,sig_label
2024,HAPV3.SA,HAPV3,Hapvida Participações e Investimentos S.A.,HAPVIDA     ON      NM,Financial Services,Insurance - Life,-10.2525,0.0486,0.6628,6,True,-10.1902,-10.9137,40.4904,-54.5064,4650968.0,-58.9757,Mais sensível,10.2525,significativo
2024,VAMO3.SA,VAMO3,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",VAMOS       ON      NM,Industrials,Rental & Leasing Services,-10.1579,0.235,0.3278,6,False,-8.082,-7.1326,47.3402,-54.0684,8372937.0,-33.5461,Mais sensível,10.1579,nao_significativo
2024,CSNA3.SA,CSNA3,Companhia Siderúrgica Nacional,SID NACIONALON,Basic Materials,Steel,-10.0257,0.2798,0.2805,6,False,-2.7617,-6.0147,35.9689,-50.9017,7637172.0,69.7093,Mais sensível,10.0257,nao_significativo
2024,VBBR3.SA,VBBR3,Vibra Energia S.A.,VIBRA       ON      NM,Consumer Cyclical,Specialty Retail,-9.9977,0.2081,0.3599,6,False,-8.9566,-5.4475,25.5219,-31.0311,8699567.0,23.1591,Mais sensível,9.9977,nao_significativo
2024,MGLU3.SA,MGLU3,Magazine Luiza S.A.,MAGAZ LUIZA ON      NM,Consumer Cyclical,Specialty Retail,-9.995,0.4029,0.1793,6,False,-15.4167,-12.9252,60.2366,-70.7207,21173048.0,-71.5652,Mais sensível,9.995,nao_significativo
2024,BRKM5.SA,BRKM5,Braskem S.A.,BRASKEM     PNA     N1,Basic Materials,Chemicals,-9.3239,0.4637,0.1407,6,False,-7.91,-4.2863,42.8046,-57.8775,3268067.0,-65.216,Intermediário,9.3239,nao_significativo
2024,GGBR4.SA,GGBR4,Gerdau S.A.,GERDAU      PN      N1,Basic Materials,Steel,-9.1981,0.1919,0.3807,6,False,1.7581,-1.8922,27.1232,-16.002,12373786.0,165.5175,Intermediário,9.1981,nao_significativo
2024,AURE3.SA,AURE3,Auren Energia S.A.,AUREN       ON      NM,Utilities,Utilities - Renewable,-8.5265,0.0151,0.8063,6,True,-1.5292,-3.5561,16.5574,-33.7361,4802701.0,-31.7116,Intermediário,8.5265,significativo
2024,CMIG4.SA,CMIG4,Companhia Energética de Minas Gerais - CEMIG,CEMIG       PN      N1,Utilities,Utilities - Regulated Electric,-7.7505,0.0297,0.7323,6,True,1.1768,1.0825,24.121,-8.642,13773311.0,512.317,Intermediário,7.7505,significativo
2024,RADL3.SA,RADL3,Raia Drogasil S.A.,RAIADROGASILON      NM,Healthcare,Pharmaceutical Retailers,-7.4001,0.1087,0.5143,6,False,-5.464,-3.72,24.2633,-26.2527,7230292.0,35.3794,Intermediário,7.4001,nao_significativo
2024,DIRR3.SA,DIRR3,Direcional Engenharia S.A.,DIRECIONAL  ON      NM,Real Estate,Real Estate - Development,-6.6297,0.3276,0.2368,6,False,-4.1113,-2.4919,28.3604,-19.9034,5820546.0,629.1779,Intermediário,6.6297,nao_significativo
2024,WEGE3.SA,WEGE3,WEG S.A.,WEG         ON      NM,Industrials,Electrical Equipment & Parts,-6.4435,0.3293,0.2354,6,False,-0.9637,1.4177,22.8938,-12.2388,6483527.0,508.5848,Intermediário,6.4435,nao_significativo
2024,UGPA3.SA,UGPA3,Ultrapar Participações S.A.,ULTRAPAR    ON      NM,Energy,Oil & Gas Refining & Marketing,-6.1326,0.2761,0.2842,6,False,-6.0379,-5.276,28.3897,-47.7392,5234224.0,7.9508,Intermediário,6.1326,nao_significativo
2024,VALE3.SA,VALE3,Vale S.A.,VALE        ON      NM,Basic Materials,Other Industrial Metals & Mining,-5.3554,0.252,0.3091,6,False,-2.4123,-1.5601,22.1629,-23.7546,23218919.0,122.4247,Intermediário,5.3554,nao_significativo
2024,POMO4.SA,POMO4,Marcopolo S.A.,MARCOPOLO   PN      N2,Industrials,Farm & Heavy Construction Machinery,-5.1857,0.5437,0.0989,6,False,-4.688,-1.6411,36.7854,-23.868,9493779.0,206.3136,Intermediário,5.1857,nao_significativo
2024,EGIE3.SA,EGIE3,Engie Brasil Energia S.A.,ENGIE BRASILON      NM,Utilities,Utilities - Renewable,-5.1645,0.0416,0.6864,6,True,-2.9077,-2.0615,17.0179,-23.3977,2092660.0,102.6652,Intermediário,5.1645,significativo
2024,CURY3.SA,CURY3,Cury Construtora e Incorporadora S.A.,CURY S/A    ON      NM,Real Estate,Real Estate - Development,-4.8387,0.2731,0.2872,6,False,-4.9271,-3.648,29.4711,-30.9341,1947674.0,147.4357,Intermediário,4.8387,nao_significativo
2024,RENT3.SA,RENT3,Localiza Rent a Car S.A.,LOCALIZA    ON      NM,Industrials,Rental & Leasing Services,-4.4692,0.304,0.2577,6,False,-6.6139,-6.6862,36.7011,-50.5831,9491292.0,68.9701,Intermediário,4.4692,nao_significativo
2024,VIVA3.SA,VIVA3,Vivara Participações S.A.,VIVARA S.A. ON      NM,Consumer Cyclical,Luxury Goods,-4.4312,0.1838,0.3917,6,False,-8.876,-8.5186,34.0607,-45.1077,3592500.0,-13.9302,Intermediário,4.4312,nao_significativo
2024,CYRE3.SA,CYRE3,Cyrela Brazil Realty S.A. Empreendimentos e Participações,CYRELA REALTON      NM,Consumer Cyclical,Residential Construction,-4.2023,0.6049,0.0729,6,False,-7.4701,-4.8852,33.2386,-31.5564,5879223.0,84.0616,Intermediário,4.2023,nao_significativo
2024,TIMS3.SA,TIMS3,TIM S.A.,TIM         ON      NM,Communication Services,Telecom Services,-4.0776,0.2363,0.3264,6,False,-2.8303,-2.2365,24.1994,-22.1738,6955685.0,58.972,Intermediário,4.0776,nao_significativo
2024,TOTS3.SA,TOTS3,TOTVS S.A.,TOTVS       ON      NM,Technology,Software - Application,-4.0443,0.3171,0.246,6,False,-4.7853,-4.7134,30.5292,-22.1721,3725640.0,189.0254,Intermediário,4.0443,nao_significativo
2024,ITSA4.SA,ITSA4,Itaúsa S.A.,ITAUSA      PN  EJ  N1,Industrials,Conglomerates,-4.0105,0.3775,0.1974,6,False,-4.4216,-3.7047,17.5493,-17.6754,24076507.0,77.2255,Intermediário,4.0105,nao_significativo
2024,CMIN3.SA,CMIN3,CSN Mineração S.A.,CSNMINERACAOON      N2,Basic Materials,Steel,-3.8366,0.3982,0.1825,6,False,-6.2426,-5.5621,36.835,-39.4406,9589590.0,-6.2578,Intermediário,3.8366,nao_significativo
2024,ENEV3.SA,ENEV3,Eneva S.A.,ENEVA       ON      NM,Utilities,Utilities - Diversified,-3.6748,0.2792,0.2811,6,False,-2.001,-2.0498,22.5412,-26.9764,8072651.0,198.7234,Intermediário,3.6748,nao_significativo
2024,ITUB4.SA,ITUB4,Itaú Unibanco Holding S.A.,ITAUUNIBANCOPN  EJ  N1,Financial Services,Banks - Regional,-3.5817,0.4175,0.1694,6,False,-3.9974,-2.5585,17.688,-16.4773,26788036.0,52.8813,Intermediário,3.5817,nao_significativo
2024,PSSA3.SA,PSSA3,Porto Seguro S.A.,PORTO SEGUROON      NM,Financial Services,Insurance - Diversified,-3.4746,0.3635,0.2079,6,False,3.2396,1.6852,19.7431,-10.7937,1821829.0,188.9237,Intermediário,3.4746,nao_significativo
2024,BRAP4.SA,BRAP4,Bradespar S.A.,BRADESPAR   PN      N1,Financial Services,Asset Management,-3.4255,0.5077,0.1166,6,False,-5.1515,-3.346,21.1701,-26.613,4056414.0,232.5889,Intermediário,3.4255,nao_significativo
2024,FLRY3.SA,FLRY3,Fleury S.A.,FLEURY      ON      NM,Healthcare,Diagnostics & Research,-3.4185,0.2523,0.3087,6,False,-5.0125,-4.8593,20.8499,-29.0742,2938584.0,-42.8333,Intermediário,3.4185,nao_significativo
2024,LREN3.SA,LREN3,Lojas Renner S.A.,LOJAS RENNERON      NM,Consumer Cyclical,Department Stores,-3.3794,0.5713,0.0866,6,False,-2.3233,-2.7906,41.4849,-29.799,18449820.0,-45.8188,Intermediário,3.3794,nao_significativo
2024,ALOS3.SA,ALOS3,Allos S.A.,ALLOS       ON      NM,Real Estate,Real Estate Services,-3.3036,0.4807,0.131,6,False,-3.7989,-4.3081,21.8549,-23.5158,4389079.0,-13.5107,Intermediário,3.3036,nao_significativo
2024,CSMG3.SA,CSMG3,Companhia de Saneamento de Minas Gerais,COPASA      ON      NM,Utilities,Utilities - Regulated Water,-2.8631,0.606,0.0724,6,False,-0.2387,-0.5244,26.4186,-20.0398,1566173.0,178.7934,Intermediário,2.8631,nao_significativo
2024,RAIL3.SA,RAIL3,Rumo S.A.,RUMO S.A.   ON      NM,Industrials,Railroads,-2.627,0.2674,0.293,6,False,-3.2498,-4.2362,24.723,-25.6034,11953886.0,38.5935,Intermediário,2.627,nao_significativo
