copom_date,delta_selic,ticker,return_30d,year,ticker_clean,sector,industry,longName,shortName,avg_volatility_20d,max_drawdown_pct,avg_volume,total_return_pct
2018-02-08,-0.25,TIMS3.SA,8.203954960539296,2018,TIMS3,Communication Services,Telecom Services,TIM S.A.,TIM         ON      NM,32.3349,-32.3938,4224539.0,-8.6833
2018-02-08,-0.25,TOTS3.SA,-0.636739317400048,2018,TOTS3,Technology,Software - Application,TOTVS S.A.,TOTVS       ON      NM,30.2798,-28.8641,1703804.0,-9.2404
2018-02-08,-0.25,UGPA3.SA,-2.7144364558531975,2018,UGPA3,Energy,Oil & Gas Refining & Marketing,Ultrapar Participações S.A.,ULTRAPAR    ON      NM,38.017,-54.0219,8493219.0,-29.1249
2018-02-08,-0.25,USIM5.SA,-0.44522450855564166,2018,USIM5,Basic Materials,Steel,Usinas Siderúrgicas de Minas Gerais S.A.,USIMINAS    PNA     N1,50.3639,-44.8573,15184587.0,-3.5373
2018-02-08,-0.25,VALE3.SA,1.3768300865464989,2018,VALE3,Basic Materials,Other Industrial Metals & Mining,Vale S.A.,VALE        ON      NM,32.9869,-20.418,17601556.0,27.1957
2018-02-08,-0.25,VIVT3.SA,0.6428416135498161,2018,VIVT3,Communication Services,Telecom Services,Telefônica Brasil S.A.,TELEF BRASILON  EJ,26.0309,-19.3531,57462.0,11.7411
2018-02-08,-0.25,WEGE3.SA,5.300507409085498,2018,WEGE3,Industrials,Electrical Equipment & Parts,WEG S.A.,WEG         ON      NM,27.8252,-23.6517,5815078.0,-7.2403
2018-02-08,-0.25,YDUQ3.SA,-5.330932455281312,2018,YDUQ3,Consumer Defensive,Education & Training Services,Yduqs Participações S.A.,YDUQS PART  ON      NM,45.3746,-45.3641,3583184.0,-24.8529
2018-03-22,-0.25,ABEV3.SA,-2.048488861760178,2018,ABEV3,Consumer Defensive,Beverages - Brewers,Ambev S.A.,AMBEV S/A   ON,21.0125,-37.6625,16307012.0,-26.7761
2018-03-22,-0.25,ALOS3.SA,-2.7083295766101134,2018,ALOS3,Real Estate,Real Estate Services,Allos S.A.,ALLOS       ON      NM,22.8551,-25.1882,36219.0,5.0016
2018-03-22,-0.25,AXIA3.SA,-14.683660515605279,2018,AXIA3,Utilities,Utilities - Renewable,AXIA Energia SA,AXIA ENERGIAON      NM,63.5863,-51.8474,3803336.0,28.9516
2018-03-22,-0.25,AZZA3.SA,6.946407331222448,2018,AZZA3,Consumer Cyclical,Footwear & Accessories,Azzas 2154 S.A.,AZZAS 2154  ON  ATZ NM,38.9949,-38.4822,302969.0,0.5277
2018-03-22,-0.25,B3SA3.SA,1.0616982514612516,2018,B3SA3,Financial Services,Financial Data & Stock Exchanges,"B3 S.A. - Brasil, Bolsa, Balcão",B3          ON      NM,33.6273,-29.1313,31021778.0,20.6162
2018-03-22,-0.25,BBAS3.SA,-8.689334849241547,2018,BBAS3,Financial Services,Banks - Regional,Banco do Brasil S.A.,BRASIL      ON  EJ  NM,39.5782,-43.2499,23524713.0,48.6927
2018-03-22,-0.25,BBDC3.SA,-6.189222446443177,2018,BBDC3,Financial Services,Banks - Regional,Banco Bradesco S.A.,BRADESCO    ON  EJ  N1,35.5947,-37.3336,3658479.0,19.3583
2018-03-22,-0.25,BBDC4.SA,-2.0111924446829077,2018,BBDC4,Financial Services,Banks - Regional,Banco Bradesco S.A.,BRADESCO    PN  EJ  N1,32.2151,-33.3131,22228095.0,26.1751
2018-03-22,-0.25,BBSE3.SA,-6.879008362658845,2018,BBSE3,Financial Services,Insurance - Diversified,BB Seguridade Participações S.A.,BBSEGURIDADEON      NM,25.702,-24.7115,3497298.0,7.6541
2018-03-22,-0.25,BEEF3.SA,0.9937735495079814,2018,BEEF3,Consumer Defensive,Packaged Foods,Minerva S.A.,MINERVA     ON      NM,40.7466,-56.7493,1690544.0,-54.1781
