copom_date,delta_selic,sector,median_return_30d,copom_direction,industry
2022-08-04,0.5,Real Estate,1.8333060645246313,alta,Real Estate - Development
2022-08-04,0.5,Technology,7.455472439618327,alta,Software - Application
2022-08-04,0.5,Utilities,1.9820971867007486,alta,Utilities - Regulated Electric
2023-08-03,-0.5,Basic Materials,-2.2567055449099205,queda,Steel
2023-08-03,-0.5,Communication Services,-0.8899036741901567,queda,Telecom Services
2023-08-03,-0.5,Consumer Cyclical,-8.618029529484472,queda,Specialty Retail
2023-08-03,-0.5,Consumer Defensive,-9.609608760929078,queda,Education & Training Services
2023-08-03,-0.5,Energy,-1.3033450298278293,queda,Oil & Gas E&P
2023-08-03,-0.5,Financial Services,-1.2445152811542681,queda,Banks - Regional
2023-08-03,-0.5,Healthcare,-9.166645813983315,queda,Diagnostics & Research
2023-08-03,-0.5,Industrials,-2.6575471766773386,queda,Rental & Leasing Services
2023-08-03,-0.5,Real Estate,-5.437724778685182,queda,Real Estate - Development
2023-08-03,-0.5,Technology,-5.151830075280439,queda,Software - Application
2023-08-03,-0.5,Utilities,-0.8349173525598275,queda,Utilities - Regulated Electric
2023-09-21,-0.5,Basic Materials,-9.711680225446639,queda,Steel
2023-09-21,-0.5,Communication Services,2.0605170279421436,queda,Telecom Services
2023-09-21,-0.5,Consumer Cyclical,-5.66343140570364,queda,Specialty Retail
2023-09-21,-0.5,Consumer Defensive,-8.13069032179622,queda,Education & Training Services
2023-09-21,-0.5,Energy,6.287428901433545,queda,Oil & Gas E&P
2023-09-21,-0.5,Financial Services,-0.6433980861082822,queda,Banks - Regional
2023-09-21,-0.5,Healthcare,-6.552161696909336,queda,Diagnostics & Research
2023-09-21,-0.5,Industrials,-7.186107947012632,queda,Rental & Leasing Services
2023-09-21,-0.5,Real Estate,-6.789443022044123,queda,Real Estate - Development
2023-09-21,-0.5,Technology,-2.6116538982851156,queda,Software - Application
2023-09-21,-0.5,Utilities,-6.063193851409054,queda,Utilities - Regulated Electric
2023-11-03,-0.5,Basic Materials,3.4831734564501504,queda,Steel
2023-11-03,-0.5,Communication Services,9.530437746478071,queda,Telecom Services
2023-11-03,-0.5,Consumer Cyclical,20.13722300722189,queda,Specialty Retail
2023-11-03,-0.5,Consumer Defensive,9.872342682529212,queda,Education & Training Services
2023-11-03,-0.5,Energy,2.7518371036767464,queda,Oil & Gas E&P
2023-11-03,-0.5,Financial Services,9.565432361313409,queda,Banks - Regional
2023-11-03,-0.5,Healthcare,9.561518138639823,queda,Diagnostics & Research
2023-11-03,-0.5,Industrials,8.974766231312369,queda,Rental & Leasing Services
2023-11-03,-0.5,Real Estate,9.773527854949105,queda,Real Estate - Development
2023-11-03,-0.5,Technology,22.166077707496346,queda,Software - Application
2023-11-03,-0.5,Utilities,6.269689646296617,queda,Utilities - Regulated Electric
2023-12-14,-0.5,Basic Materials,-0.7210256454358244,queda,Steel
2023-12-14,-0.5,Communication Services,-3.9592773603101596,queda,Telecom Services
2023-12-14,-0.5,Consumer Cyclical,-0.5058708471927853,queda,Specialty Retail
2023-12-14,-0.5,Consumer Defensive,-2.896548648647501,queda,Education & Training Services
2023-12-14,-0.5,Energy,7.0483351935142435,queda,Oil & Gas E&P
2023-12-14,-0.5,Financial Services,-0.4548003648140564,queda,Banks - Regional
2023-12-14,-0.5,Healthcare,-1.4566039779517594,queda,Diagnostics & Research
2023-12-14,-0.5,Industrials,-2.339740514636884,queda,Rental & Leasing Services
2023-12-14,-0.5,Real Estate,0.300634067792821,queda,Real Estate - Development
2023-12-14,-0.5,Technology,-3.449290847294595,queda,Software - Application
2023-12-14,-0.5,Utilities,2.767004217978508,queda,Utilities - Regulated Electric
2024-02-01,-0.5,Basic Materials,4.471347011250915,queda,Steel
2024-02-01,-0.5,Communication Services,3.5129912198040625,queda,Telecom Services
2024-02-01,-0.5,Consumer Cyclical,7.156676672505725,queda,Specialty Retail
2024-02-01,-0.5,Consumer Defensive,1.987429957555853,queda,Education & Training Services
2024-02-01,-0.5,Energy,4.475846773242709,queda,Oil & Gas E&P
2024-02-01,-0.5,Financial Services,-1.2817358427811676,queda,Banks - Regional
2024-02-01,-0.5,Healthcare,2.99503126461369,queda,Diagnostics & Research
2024-02-01,-0.5,Industrials,6.867710557350404,queda,Rental & Leasing Services
2024-02-01,-0.5,Real Estate,0.2889604875776719,queda,Real Estate - Development
2024-02-01,-0.5,Technology,-1.6414081348941845,queda,Software - Application
2024-02-01,-0.5,Utilities,-0.2373417721519111,queda,Utilities - Regulated Electric
2024-03-21,-0.5,Basic Materials,0.6541426654703919,queda,Steel
2024-03-21,-0.5,Communication Services,-2.8828772931570157,queda,Telecom Services
2024-03-21,-0.5,Consumer Cyclical,-10.904205800495152,queda,Specialty Retail
2024-03-21,-0.5,Consumer Defensive,-6.88935433238218,queda,Education & Training Services
2024-03-21,-0.5,Energy,4.519169083726049,queda,Oil & Gas E&P
2024-03-21,-0.5,Financial Services,-3.2707408242860336,queda,Banks - Regional
2024-03-21,-0.5,Healthcare,-6.590585127816095,queda,Diagnostics & Research
2024-03-21,-0.5,Industrials,-7.604536840038751,queda,Rental & Leasing Services
2024-03-21,-0.5,Real Estate,-9.915972665343892,queda,Real Estate - Development
2024-03-21,-0.5,Technology,-7.929236295034292,queda,Software - Application
2024-03-21,-0.5,Utilities,-0.9187846601104832,queda,Utilities - Regulated Electric
2024-05-09,-0.25,Basic Materials,-7.106383115436676,queda,Steel
2024-05-09,-0.25,Communication Services,-1.950474019758175,queda,Telecom Services
2024-05-09,-0.25,Consumer Cyclical,-6.087992293250882,queda,Specialty Retail
2024-05-09,-0.25,Consumer Defensive,-6.6558472965958515,queda,Education & Training Services
2024-05-09,-0.25,Energy,-11.15922242001426,queda,Oil & Gas E&P
2024-05-09,-0.25,Financial Services,-3.308757921482436,queda,Banks - Regional
2024-05-09,-0.25,Healthcare,-2.687514339766656,queda,Diagnostics & Research
2024-05-09,-0.25,Industrials,-4.756343958007314,queda,Rental & Leasing Services
2024-05-09,-0.25,Real Estate,-1.1201465027993573,queda,Real Estate - Development
2024-05-09,-0.25,Technology,1.785705421782735,queda,Software - Application
2024-05-09,-0.25,Utilities,0.4935756150920012,queda,Utilities - Regulated Electric
2024-09-19,0.25,Basic Materials,1.9390620672752101,alta,Steel
2024-09-19,0.25,Communication Services,-3.021193841503167,alta,Telecom Services
2024-09-19,0.25,Consumer Cyclical,-2.3766182193997842,alta,Specialty Retail
2024-09-19,0.25,Consumer Defensive,0.9404419090371707,alta,Education & Training Services
2024-09-19,0.25,Energy,-4.570137905652993,alta,Oil & Gas E&P
2024-09-19,0.25,Financial Services,-1.1218649555984062,alta,Banks - Regional
2024-09-19,0.25,Healthcare,-6.944295225180186,alta,Diagnostics & Research
2024-09-19,0.25,Industrials,-1.5207003528544483,alta,Rental & Leasing Services
2024-09-19,0.25,Real Estate,-1.994500273686839,alta,Real Estate - Development
2024-09-19,0.25,Technology,-1.4162414553185898,alta,Software - Application
2024-09-19,0.25,Utilities,-3.1937561230318545,alta,Utilities - Regulated Electric
2024-11-07,0.5,Basic Materials,-0.22869621166751175,alta,Steel
2024-11-07,0.5,Communication Services,0.3016168357045712,alta,Telecom Services
2024-11-07,0.5,Consumer Cyclical,-11.111134995387644,alta,Specialty Retail
